n,m,density,profit_type,alpha,num_instances,avg_ratio,min_ratio,max_ratio,num_optimal,exact_rate,avg_profit_gap,min_profit_gap,max_profit_gap,avg_relative_profit_gap,min_relative_profit_gap,max_relative_profit_gap,greedy_feasible_count,exact_feasible_count,greedy_consistent_count,exact_consistent_count
6,1,sparse,correlated,0.3,30,0.9925925925925926,0.7777777777777778,1.0,29,0.9666666666666667,0.06666666666666667,0,2,0.007407407407407407,0.0,0.2222222222222222,30,30,30,30
6,1,sparse,correlated,0.8,30,0.9780172413793103,0.8,1.0,24,0.8,0.36666666666666664,0,4,0.021982758620689654,0.0,0.2,30,30,30,30
6,1,sparse,random,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
6,1,sparse,random,0.8,30,0.9952380952380953,0.8571428571428571,1.0,29,0.9666666666666667,0.8666666666666667,0,26,0.0047619047619047615,0.0,0.14285714285714285,30,30,30,30
6,2,dense,anticorrelated,0.3,30,0.9163663608628821,0.5185185185185185,1.0,18,0.6,2.2,0,14,0.08363363913711795,0.0,0.48148148148148145,30,30,30,30
6,2,dense,anticorrelated,0.8,30,0.9055863406693393,0.6956521739130435,1.0,9,0.3,7.633333333333334,0,28,0.09441365933066069,0.0,0.30434782608695654,30,30,30,30
6,2,dense,correlated,0.3,30,0.9312422762422763,0.5714285714285714,1.0,19,0.6333333333333333,0.7666666666666667,0,6,0.06875772375772375,0.0,0.42857142857142855,30,30,30,30
6,2,dense,correlated,0.8,30,0.9335491203533735,0.75,1.0,13,0.43333333333333335,2.2333333333333334,0,8,0.06645087964662647,0.0,0.25,30,30,30,30
6,2,dense,random,0.3,30,0.9494813769846266,0.6527777777777778,1.0,23,0.7666666666666667,5.666666666666667,0,50,0.050518623015373444,0.0,0.3472222222222222,30,30,30,30
6,2,dense,random,0.8,30,0.9294679814454747,0.7331189710610932,1.0,13,0.43333333333333335,24.366666666666667,0,98,0.07053201855452512,0.0,0.26688102893890675,30,30,30,30
6,2,sparse,anticorrelated,0.3,30,0.8638186067828164,0.53125,1.0,20,0.6666666666666666,5.233333333333333,0,38,0.13618139321718362,0.0,0.46875,30,30,30,30
6,2,sparse,anticorrelated,0.8,30,0.7797062569131488,0.5070422535211268,1.0,7,0.23333333333333334,20.3,0,95,0.22029374308685157,0.0,0.49295774647887325,30,30,30,30
6,2,sparse,correlated,0.3,30,0.9032936507936509,0.5,1.0,20,0.6666666666666666,0.7666666666666667,0,12,0.09670634920634921,0.0,0.5,30,30,30,30
6,2,sparse,correlated,0.8,30,0.7905774119293213,0.5454545454545454,1.0,7,0.23333333333333334,4.666666666666667,0,30,0.20942258807067887,0.0,0.45454545454545453,30,30,30,30
6,2,sparse,random,0.3,30,0.9132464625314672,0.5,1.0,23,0.7666666666666667,12.766666666666667,0,98,0.08675353746853263,0.0,0.5,30,30,30,30
6,2,sparse,random,0.8,30,0.7890111935811118,0.509090909090909,1.0,5,0.16666666666666666,65.36666666666666,0,378,0.2109888064188884,0.0,0.4909090909090909,30,30,30,30
6,3,dense,anticorrelated,0.3,30,0.941520957928077,0.5555555555555556,1.0,24,0.8,1.6666666666666667,0,12,0.058479042071923046,0.0,0.4444444444444444,30,30,30,30
6,3,dense,anticorrelated,0.8,30,0.8893772866998065,0.5844155844155844,1.0,9,0.3,8.066666666666666,0,32,0.11062271330019334,0.0,0.4155844155844156,30,30,30,30
6,3,dense,correlated,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
6,3,dense,correlated,0.8,30,0.9056510171662542,0.631578947368421,1.0,9,0.3,3.7666666666666666,0,19,0.09434898283374603,0.0,0.3684210526315789,30,30,30,30
6,3,dense,random,0.3,30,0.9821407842779901,0.7480314960629921,1.0,26,0.8666666666666667,2.1666666666666665,0,32,0.01785921572200988,0.0,0.25196850393700787,30,30,30,30
6,3,dense,random,0.8,30,0.8909805321906871,0.6666666666666666,1.0,10,0.3333333333333333,37.6,0,158,0.10901946780931279,0.0,0.3333333333333333,30,30,30,30
6,3,sparse,anticorrelated,0.3,30,0.8501496098705877,0.41025641025641024,1.0,18,0.6,5.733333333333333,0,32,0.14985039012941212,0.0,0.5897435897435898,30,30,30,30
6,3,sparse,anticorrelated,0.8,30,0.7514932691611957,0.4177215189873418,1.0,4,0.13333333333333333,22.366666666666667,0,89,0.2485067308388043,0.0,0.5822784810126582,30,30,30,30
6,3,sparse,correlated,0.3,30,0.8961111111111111,0.5,1.0,20,0.6666666666666666,0.9333333333333333,0,6,0.10388888888888889,0.0,0.5,30,30,30,30
6,3,sparse,correlated,0.8,30,0.7449557662420727,0.4,1.0,3,0.1,6.066666666666666,0,19,0.2550442337579275,0.0,0.6,30,30,30,30
6,3,sparse,random,0.3,30,0.8595438186570434,0.4144144144144144,1.0,17,0.5666666666666667,19.7,0,86,0.1404561813429565,0.0,0.5855855855855856,30,30,30,30
6,3,sparse,random,0.8,30,0.657783169597984,0.323943661971831,0.9260143198090692,0,0.0,110.23333333333333,31,288,0.3422168304020162,0.07398568019093078,0.676056338028169,30,30,30,30
7,1,dense,anticorrelated,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
7,1,dense,anticorrelated,0.8,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
7,1,dense,correlated,0.3,30,0.9844973544973545,0.8571428571428571,1.0,26,0.8666666666666667,0.13333333333333333,0,1,0.0155026455026455,0.0,0.14285714285714285,30,30,30,30
7,1,dense,correlated,0.8,30,0.9982456140350877,0.9473684210526315,1.0,29,0.9666666666666667,0.03333333333333333,0,1,0.0017543859649122805,0.0,0.05263157894736842,30,30,30,30
7,1,dense,random,0.3,30,0.9980547537829092,0.9513513513513514,1.0,28,0.9333333333333333,0.3333333333333333,0,9,0.0019452462170908773,0.0,0.04864864864864865,30,30,30,30
7,1,dense,random,0.8,30,0.999441340782123,0.9832402234636871,1.0,29,0.9666666666666667,0.3,0,9,0.0005586592178770949,0.0,0.01675977653631285,30,30,30,30
7,1,sparse,anticorrelated,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
7,1,sparse,anticorrelated,0.8,30,0.9980769230769231,0.9423076923076923,1.0,29,0.9666666666666667,0.1,0,3,0.0019230769230769232,0.0,0.057692307692307696,30,30,30,30
7,1,sparse,correlated,0.3,30,0.9933333333333334,0.8,1.0,29,0.9666666666666667,0.03333333333333333,0,1,0.006666666666666667,0.0,0.2,30,30,30,30
7,1,sparse,correlated,0.8,30,0.9845710533017035,0.8571428571428571,1.0,25,0.8333333333333334,0.23333333333333334,0,2,0.015428946698296541,0.0,0.14285714285714285,30,30,30,30
7,1,sparse,random,0.3,30,1.0,1.0,1.0,30,1.0,0.0,0,0,0.0,0.0,0.0,30,30,30,30
7,1,sparse,random,0.8,30,0.9949657438478747,0.909375,1.0,28,0.9333333333333333,1.5666666666666667,0,29,0.00503425615212528,0.0,0.090625,30,30,30,30
7,2,dense,anticorrelated,0.3,30,0.9595290560989347,0.5833333333333334,1.0,22,0.7333333333333333,1.3,0,14,0.04047094390106549,0.0,0.4166666666666667,30,30,30,30
7,2,dense,anticorrelated,0.8,30,0.9488162454369242,0.7317073170731707,1.0,15,0.5,5.233333333333333,0,33,0.05118375456307569,0.0,0.2682926829268293,30,30,30,30
7,2,dense,correlated,0.3,30,0.9180209006679596,0.6923076923076923,1.0,15,0.5,1.0666666666666667,0,4,0.08197909933204053,0.0,0.3076923076923077,30,30,30,30
7,2,dense,correlated,0.8,30,0.9326627338095609,0.6779661016949152,1.0,14,0.4666666666666667,2.6,0,19,0.067337266190439,0.0,0.3220338983050847,30,30,30,30
7,2,dense,random,0.3,30,0.9411565652943694,0.7162162162162162,1.0,18,0.6,8.3,0,42,0.058843434705630464,0.0,0.28378378378378377,30,30,30,30
7,2,dense,random,0.8,30,0.9148125665594914,0.76,1.0,9,0.3,39.93333333333333,0,154,0.08518743344050847,0.0,0.24,30,30,30,30
7,2,sparse,anticorrelated,0.3,30,0.8465219492522768,0.5,1.0,16,0.5333333333333333,7.066666666666666,0,30,0.1534780507477233,0.0,0.5,30,30,30,30
7,2,sparse,anticorrelated,0.8,30,0.7492277388295971,0.5161290322580645,1.0,5,0.16666666666666666,28.833333333333332,0,90,0.25077226117040313,0.0,0.4838709677419355,30,30,30,30
7,2,sparse,correlated,0.3,30,0.9035065567960305,0.5,1.0,17,0.5666666666666667,0.9,0,6,0.09649344320396952,0.0,0.5,30,30,30,30
7,2,sparse,correlated,0.8,30,0.7901790226489182,0.46153846153846156,1.0,4,0.13333333333333333,5.366666666666666,0,15,0.20982097735108204,0.0,0.5384615384615384,30,30,30,30
7,2,sparse,random,0.3,30,0.8602532775143147,0.5,1.0,18,0.6,20.466666666666665,0,88,0.13974672248568534,0.0,0.5,30,30,30,30
7,2,sparse,random,0.8,30,0.77338554018938,0.48360655737704916,1.0,5,0.16666666666666666,91.3,0,284,0.22661445981062,0.0,0.5163934426229508,30,30,30,30
7,3,dense,anticorrelated,0.3,30,0.8434002206194235,0.5,1.0,14,0.4666666666666667,4.233333333333333,0,15,0.15659977938057648,0.0,0.5,30,30,30,30
7,3,dense,anticorrelated,0.8,30,0.8882208803983741,0.7228915662650602,1.0,8,0.26666666666666666,9.466666666666667,0,23,0.11177911960162604,0.0,0.27710843373493976,30,30,30,30
7,3,dense,correlated,0.3,30,0.8920097331862039,0.5555555555555556,1.0,12,0.4,1.7,0,8,0.10799026681379621,0.0,0.4444444444444444,30,30,30,30
7,3,dense,correlated,0.8,30,0.8852025268021292,0.6470588235294118,1.0,10,0.3333333333333333,5.333333333333333,0,18,0.11479747319787083,0.0,0.35294117647058826,30,30,30,30
